iter	Passed	Remaining
766	531079	161331
767	531647	160601
768	532221	159874
769	532899	159177
770	533560	158476
771	534162	157757
772	534800	157049
773	535606	156391
774	536246	155684
775	536906	154983
776	537559	154280
777	538215	153578
778	538874	152877
779	539545	152179
780	540198	151477
781	540851	150774
782	541519	150076
783	542199	149381
784	542861	148681
785	543638	148013
786	544299	147313
787	545047	146637
788	545723	145941
789	546390	145243
790	547047	144542
791	547747	143852
792	548406	143152
793	549065	142452
794	549727	141753
795	550401	141057
796	551064	140359
797	551734	139662
798	552413	138967
799	553078	138269
800	553745	137572
801	554440	136881
802	555112	136185
803	555857	135507
804	556544	134815
805	557215	134118
806	557921	133431
807	558711	132763
808	559395	132069
809	560070	131374
810	560773	130685
811	561448	129990
812	562123	129295
813	562933	128631
814	563649	127945
815	564971	127395
816	565815	126737
817	566645	126075
818	567442	125405
819	568006	124684
820	568512	123950
821	569197	123256
822	569726	122529
823	570256	121802
824	570793	121077
825	571366	120360
826	572868	119838
827	574573	119355
828	575056	118618
829	575580	117890
830	576090	117159
831	576609	116430
832	577146	115706
833	577733	114992
834	578291	114273
835	578866	113557
836	579464	112846
837	580076	112138
838	580761	111445
839	581377	110738
840	582001	110033
841	582702	109343
842	583379	108648
843	584029	107948
844	584701	107252
845	585372	106557
846	586023	105857
847	586694	105162
848	587348	104463
849	588013	103767
850	588691	103072
851	589354	102376
852	590155	101703
853	590852	101012
854	591520	100316
855	592264	99633
856	592928	98936
857	593644	98248
858	594308	97552
859	595061	96870
860	595797	96185
861	596461	95489
862	597122	94792
863	597800	94098
864	598459	93401
865	599124	92705
866	599803	92011
867	600466	91315
868	601133	90619
869	601816	89926
870	602479	89230
871	603148	88535
872	603917	87855
873	604589	87160
874	605248	86464
875	605916	85768
876	606602	85076
877	607266	84381
878	607939	83686
879	608629	82994
880	609302	82300
881	610087	81621
882	610781	80930
883	612120	80323
884	612854	79636
885	613549	78944
886	614222	78249
887	614888	77553
888	615557	76858
889	616057	76141
890	616562	75426
891	617084	74714
892	617599	74001
893	618130	73290
894	618673	72581
895	619216	71873
896	621201	71330
897	622469	70703
898	622972	69989
899	623481	69275
900	623994	68563
901	624527	67853
902	625061	67143
903	625666	66442
904	626295	65743
905	626867	65039
906	627478	64339
907	628082	63638
908	628686	62937
909	629295	62238
910	629934	61541
911	630567	60844
912	631204	60147
913	631868	59453
914	632526	58759
915	633181	58064
916	633831	57369
917	634508	56677
918	635167	55983
919	635827	55289
920	636593	54604
921	637249	53910
922	637913	53217
923	638582	52524
924	639249	51831
925	639908	51137
926	640592	50445
927	641279	49754
928	641945	49061
929	642617	48369
930	643314	47678
931	643981	46985
932	644646	46292
933	645351	45603
934	646023	44910
935	646784	44224
936	647472	43533
937	648143	42841
938	648818	42149
939	649503	41457
940	650173	40765
941	650841	40073
942	651581	39385
943	652319	38696
944	652983	38004
945	653671	37313
946	654346	36621
947	655174	35937
948	655924	35249
949	656608	34558
950	657522	33878
951	658218	33187
952	659141	32507
953	659995	31823
954	660677	31131
955	661363	30439
956	662053	29747
957	662666	29052
958	663166	28352
959	663694	27653
960	664202	26955
961	664732	26257
962	665260	25560
963	665897	24867
964	666439	24171
965	668203	23518
966	669642	22852
967	670133	22153
968	670652	21455
969	671165	20757
970	671703	20061
971	672367	19368
972	672950	18673
973	673517	17978
974	674095	17284
975	674704	16591
976	675315	15897
977	675942	15205
978	676683	14515
979	677344	13823
980	677986	13131
981	678646	12439
982	679317	11748
983	680000	11056
984	680693	10365
985	681384	9674
986	682071	8983
987	682769	8292
988	683462	7601
989	684143	6910
990	684814	6219
991	685522	5528
992	686229	4837
993	687036	4147
994	687734	3455
995	688418	2764
996	689099	2073
997	689791	1382
998	690489	691
999	691172	0
